(u'wednesday may 23 1990', '1990-05-23')
(u'december 29 2012', '2012-12-29')
(u'5/3/71', '1971-05-03')
(u'wednesday march 5 1986', '1986-03-05')
(u'thursday april 27 1989', '1989-04-27')
(u'sunday september 17 1978', '1978-09-17')
(u'12 apr 2003', '2003-04-12')
(u'sunday may 14 1995', '1995-05-14')
(u'monday march 8 1982', '1982-03-08')
(u'saturday march 24 1990', '1990-03-24')
(u'11 nov 2003', '2003-11-11')
(u'tuesday november 26 1985', '1985-11-26')
(u'apr 25 1973', '1973-04-25')
(u'wednesday july 15 1992', '1992-07-15')
(u'thursday july 19 1979', '1979-07-19')
(u'29 may 2000', '2000-05-29')
(u'sunday november 18 1979', '1979-11-18')
(u'tuesday august 10 1976', '1976-08-10')
(u'october 2 2013', '2013-10-02')
(u'sunday march 2 1986', '1986-03-02')
(u'sunday april 22 1984', '1984-04-22')
(u'sunday may 5 1996', '1996-05-05')
(u'8 dec 2003', '2003-12-08')
(u'3 nov 2002', '2002-11-03')
(u'27 01 09', '2009-01-27')
(u'tuesday september 21 1982', '1982-09-21')
(u'thursday november 22 1990', '1990-11-22')
(u'sunday october 25 1987', '1987-10-25')
(u'sunday april 16 1995', '1995-04-16')
(u'4 feb 1998', '1998-02-04')
(u'18 oct 2000', '2000-10-18')
(u'apr 29 1973', '1973-04-29')
(u'wednesday march 2 1988', '1988-03-02')
(u'5 september 2004', '2004-09-05')
(u'9/24/71', '1971-09-24')
(u'10 july 2006', '2006-07-10')
(u'27 jul 2003', '2003-07-27')
(u'thursday august 31 1989', '1989-08-31')
(u'thursday december 26 1991', '1991-12-26')
(u'thursday december 9 1982', '1982-12-09')
(u'30 january 2006', '2006-01-30')
(u'tuesday july 6 1993', '1993-07-06')
(u'thursday december 23 1982', '1982-12-23')
(u'6/9/71', '1971-06-09')
(u'friday november 21 1986', '1986-11-21')
(u'january 28 2015', '2015-01-28')
(u'3 feb 2003', '2003-02-03')
(u'14 aug 2000', '2000-08-14')
(u'september 15 2015', '2015-09-15')
(u'7/2/71', '1971-07-02')
(u'27 june 1999', '1999-06-27')
(u'wednesday march 14 1979', '1979-03-14')
(u'monday june 5 1989', '1989-06-05')
(u'saturday november 25 1978', '1978-11-25')
(u'sunday february 1 1987', '1987-02-01')
(u'february 11 2014', '2014-02-11')
(u'2 july 2005', '2005-07-02')
(u'2 june 2011', '2011-06-02')
(u'sep 11 1973', '1973-09-11')
(u'friday september 21 1984', '1984-09-21')
(u'18 may 2008', '2008-05-18')
(u'12/25/71', '1971-12-25')
(u'sunday april 15 1979', '1979-04-15')
(u'jan 3 1974', '1974-01-03')
(u'5 01 10', '2010-01-05')
(u'thursday may 14 1981', '1981-05-14')
(u'sunday october 7 1990', '1990-10-07')
(u'9/5/70', '1970-09-05')
(u'july 25 1975', '1975-07-25')
(u'monday february 27 1995', '1995-02-27')
(u'23 sep 2008', '2008-09-23')
(u'wednesday september 10 1986', '1986-09-10')
(u'sunday august 18 1985', '1985-08-18')
(u'12/31/71', '1971-12-31')
(u'november 16 1974', '1974-11-16')
(u'friday april 8 1977', '1977-04-08')
(u'monday february 4 1980', '1980-02-04')
(u'21 nov 1997', '1997-11-21')
(u'sunday july 26 1987', '1987-07-26')
(u'07.11.17', '2017-11-07')
(u'sunday november 27 1983', '1983-11-27')
(u'28 november 2011', '2011-11-28')
(u'june 29 1974', '1974-06-29')
(u'saturday october 28 1995', '1995-10-28')
(u'22 nov 1996', '1996-11-22')
(u'03 mar 2002', '2002-03-03')
(u'saturday january 27 1990', '1990-01-27')
(u'thursday august 24 1995', '1995-08-24')
(u'25 jan 2008', '2008-01-25')
(u'thursday june 2 1977', '1977-06-02')
(u'monday january 8 1996', '1996-01-08')
(u'13 october 1998', '1998-10-13')
(u'04 apr 2008', '2008-04-04')
(u'thursday january 5 1978', '1978-01-05')
(u'monday april 16 1990', '1990-04-16')
(u'3/16/71', '1971-03-16')
(u'05 jun 2002', '2002-06-05')
(u'25 june 2012', '2012-06-25')
(u'tuesday april 21 1987', '1987-04-21')
(u'13 12 09', '2009-12-13')
(u'16 mar 2002', '2002-03-16')
(u'11/1/70', '1970-11-01')
(u'tuesday january 5 1993', '1993-01-05')
(u'mar 28 1972', '1972-03-28')
(u'wednesday may 1 1985', '1985-05-01')
(u'8 03 09', '2009-03-08')
(u'saturday february 21 1976', '1976-02-21')
(u'2 sep 1997', '1997-09-02')
(u'oct 10 1972', '1972-10-10')
(u'may 18 1975', '1975-05-18')
(u'august 7 2016', '2016-08-07')
(u'september 20 1974', '1974-09-20')
(u'monday july 10 1978', '1978-07-10')
(u'january 4 2016', '2016-01-04')
(u'monday february 11 1985', '1985-02-11')
(u'tuesday august 5 1980', '1980-08-05')
(u'september 21 1974', '1974-09-21')
(u'wednesday june 8 1994', '1994-06-08')
(u'nov 18 1972', '1972-11-18')
(u'wednesday october 8 1980', '1980-10-08')
(u'friday november 14 1980', '1980-11-14')
(u'20 june 2006', '2006-06-20')
(u'thursday december 8 1977', '1977-12-08')
(u'14 october 1998', '1998-10-14')
(u'friday october 30 1981', '1981-10-30')
(u'22.08.18', '2018-08-22')
(u'26.06.18', '2018-06-26')
(u'march 20 2015', '2015-03-20')
(u'january 19 2014', '2014-01-19')
(u'5 feb 1997', '1997-02-05')
(u'july 23 2015', '2015-07-23')
(u'25 apr 2001', '2001-04-25')
(u'thursday october 20 1977', '1977-10-20')
(u'4 november 2005', '2005-11-04')
(u'26 july 2011', '2011-07-26')
(u'9/16/70', '1970-09-16')
(u'tuesday july 17 1979', '1979-07-17')
(u'20 may 2008', '2008-05-20')
(u'04 aug 2007', '2007-08-04')
(u'8 jun 1997', '1997-06-08')
(u'december 27 1975', '1975-12-27')
(u'saturday december 25 1982', '1982-12-25')
(u'wednesday july 15 1981', '1981-07-15')
(u'28.12.17', '2017-12-28')
(u'saturday january 10 1981', '1981-01-10')
(u'friday february 12 1988', '1988-02-12')
(u'21 sep 2003', '2003-09-21')
(u'16 jun 2002', '2002-06-16')
(u'7 jul 1997', '1997-07-07')
(u'05 nov 2001', '2001-11-05')
(u'2 may 2012', '2012-05-02')
(u'september 24 2014', '2014-09-24')
(u'april 23 1975', '1975-04-23')
(u'6/23/71', '1971-06-23')
(u'september 17 2014', '2014-09-17')
(u'july 20 2014', '2014-07-20')
(u'monday january 4 1988', '1988-01-04')
(u'monday july 24 1989', '1989-07-24')
(u'10 jul 2003', '2003-07-10')
(u'saturday august 18 1990', '1990-08-18')
(u'june 8 1975', '1975-06-08')
(u'saturday march 13 1982', '1982-03-13')
(u'monday november 12 1984', '1984-11-12')
(u'17 sep 1997', '1997-09-17')
(u'friday may 19 1978', '1978-05-19')
(u'29 august 2005', '2005-08-29')
(u'18.06.17', '2017-06-18')
(u'tuesday november 1 1988', '1988-11-01')
(u'29 nov 1997', '1997-11-29')
(u'20 feb 2001', '2001-02-20')
(u'20 01 09', '2009-01-20')
(u'15 oct 2000', '2000-10-15')
(u'thursday april 13 1995', '1995-04-13')
(u'6 april 2005', '2005-04-06')
(u'3/1/71', '1971-03-01')
(u'december 30 2015', '2015-12-30')
(u'december 24 2013', '2013-12-24')
(u'16 dec 2003', '2003-12-16')
(u'wednesday november 14 1979', '1979-11-14')
(u'14 aug 2000', '2000-08-14')
(u'5/18/71', '1971-05-18')
(u'monday june 19 1989', '1989-06-19')
(u'wednesday july 16 1980', '1980-07-16')
(u'20 jun 1997', '1997-06-20')
(u'sunday april 4 1982', '1982-04-04')
(u'july 8 1974', '1974-07-08')
(u'7 11 08', '2008-11-07')
(u'monday april 19 1982', '1982-04-19')
(u'24 may 1997', '1997-05-24')
(u'10/23/70', '1970-10-23')
(u'30 jul 1997', '1997-07-30')
(u'17 aug 2008', '2008-08-17')
(u'02 jun 2008', '2008-06-02')
(u'monday january 27 1986', '1986-01-27')
(u'wednesday april 14 1976', '1976-04-14')
(u'30 october 1999', '1999-10-30')
(u'tuesday january 1 1985', '1985-01-01')
(u'wednesday december 28 1983', '1983-12-28')
(u'sunday april 13 1980', '1980-04-13')
(u'saturday april 1 1989', '1989-04-01')
(u'22 may 2003', '2003-05-22')
(u'saturday august 26 1989', '1989-08-26')
(u'21 aug 2001', '2001-08-21')
(u'15 august 2005', '2005-08-15')
(u'29 08 09', '2009-08-29')
(u'8 dec 1997', '1997-12-08')
(u'20.06.18', '2018-06-20')
(u'thursday july 28 1994', '1994-07-28')
(u'tuesday april 16 1996', '1996-04-16')
(u'21 mar 2002', '2002-03-21')
(u'15.07.17', '2017-07-15')
(u'9 may 2004', '2004-05-09')
(u'november 14 2014', '2014-11-14')
(u'friday october 7 1977', '1977-10-07')
(u'monday august 27 1990', '1990-08-27')
(u'6 jun 2004', '2004-06-06')
(u'10 november 2005', '2005-11-10')
(u'16 08 10', '2010-08-16')
(u'friday january 14 1983', '1983-01-14')
(u'monday may 27 1985', '1985-05-27')
(u'wednesday march 14 1990', '1990-03-14')
(u'wednesday march 15 1989', '1989-03-15')
(u'july 16 1974', '1974-07-16')
(u'saturday january 28 1989', '1989-01-28')
(u'10 jun 2001', '2001-06-10')
(u'11 march 2006', '2006-03-11')
(u'thursday april 2 1981', '1981-04-02')
(u'17 may 2000', '2000-05-17')
(u'05 oct 2006', '2006-10-05')
(u'friday august 12 1977', '1977-08-12')
(u'9/14/70', '1970-09-14')
(u'wednesday november 2 1977', '1977-11-02')
(u'25 mar 2003', '2003-03-25')
(u'september 13 2014', '2014-09-13')
(u'wednesday december 14 1988', '1988-12-14')
(u'tuesday april 9 1985', '1985-04-09')
(u'12 sep 2000', '2000-09-12')
(u'sunday june 23 1985', '1985-06-23')
(u'12/2/71', '1971-12-02')
(u'saturday january 2 1982', '1982-01-02')
(u'24 may 1999', '1999-05-24')
(u'thursday may 28 1992', '1992-05-28')
(u'wednesday december 24 1986', '1986-12-24')
(u'sunday march 12 1989', '1989-03-12')
(u'friday september 17 1976', '1976-09-17')
(u'23 jul 2007', '2007-07-23')
(u'friday april 22 1988', '1988-04-22')
(u'8 oct 2003', '2003-10-08')
(u'15 oct 1997', '1997-10-15')
(u'january 20 2014', '2014-01-20')
(u'23 12 08', '2008-12-23')
(u'tuesday june 22 1976', '1976-06-22')
(u'tuesday february 4 1992', '1992-02-04')
(u'7/19/70', '1970-07-19')
(u'15 dec 2006', '2006-12-15')
(u'friday april 17 1981', '1981-04-17')
(u'18.10.17', '2017-10-18')
(u'monday january 12 1981', '1981-01-12')
(u'tuesday november 15 1994', '1994-11-15')
(u'saturday january 22 1994', '1994-01-22')
(u'29 06 10', '2010-06-29')
(u'17 february 1999', '1999-02-17')
(u'february 14 2013', '2013-02-14')
(u'friday august 23 1985', '1985-08-23')
(u'october 9 1974', '1974-10-09')
(u'friday february 2 1979', '1979-02-02')
(u'apr 7 1972', '1972-04-07')
(u'14 aug 2004', '2004-08-14')
(u'30 jul 2003', '2003-07-30')
(u'08 dec 2006', '2006-12-08')
(u'20 mar 2008', '2008-03-20')
(u'monday february 16 1976', '1976-02-16')
(u'feb 20 1973', '1973-02-20')
(u'04 apr 2002', '2002-04-04')
(u'1/21/70', '1970-01-21')
(u'tuesday july 1 1986', '1986-07-01')
(u'5 october 1998', '1998-10-05')
(u'06 dec 2001', '2001-12-06')
(u'17 february 2000', '2000-02-17')
(u'june 18 2016', '2016-06-18')
(u'12.09.17', '2017-09-12')
(u'thursday march 14 1985', '1985-03-14')
(u'saturday june 1 1985', '1985-06-01')
(u'1/18/71', '1971-01-18')
(u'december 5 1975', '1975-12-05')
(u'wednesday june 12 1991', '1991-06-12')
(u'29 may 2001', '2001-05-29')
(u'tuesday july 14 1981', '1981-07-14')
(u'november 13 1974', '1974-11-13')
(u'10 jul 2003', '2003-07-10')
(u'25 nov 2002', '2002-11-25')
(u'tuesday june 28 1994', '1994-06-28')
(u'wednesday november 24 1976', '1976-11-24')
(u'tuesday august 21 1979', '1979-08-21')
(u'monday february 14 1983', '1983-02-14')
(u'27 september 2011', '2011-09-27')
(u'april 30 2015', '2015-04-30')
(u'apr 23 1972', '1972-04-23')
(u'november 6 2015', '2015-11-06')
(u'september 1 2014', '2014-09-01')
(u'20 10 08', '2008-10-20')
(u'monday june 1 1981', '1981-06-01')
(u'29.04.17', '2017-04-29')
(u'30 07 09', '2009-07-30')
(u'wednesday october 27 1976', '1976-10-27')
(u'10/2/71', '1971-10-02')
(u'friday july 1 1988', '1988-07-01')
(u'13 may 1998', '1998-05-13')
(u'3/17/71', '1971-03-17')
(u'september 20 2016', '2016-09-20')
(u'5 dec 2002', '2002-12-05')
(u'sunday april 16 1995', '1995-04-16')
(u'friday january 28 1994', '1994-01-28')
(u'february 16 1975', '1975-02-16')
(u'7 august 2006', '2006-08-07')
(u'17 april 2006', '2006-04-17')
(u'2/5/71', '1971-02-05')
(u'30 06 09', '2009-06-30')
(u'tuesday may 5 1987', '1987-05-05')
(u'september 2 2015', '2015-09-02')
(u'sunday september 28 1986', '1986-09-28')
(u'thursday may 15 1980', '1980-05-15')
(u'thursday august 2 1979', '1979-08-02')
(u'monday march 24 1986', '1986-03-24')
(u'jun 18 1973', '1973-06-18')
(u'wednesday december 14 1977', '1977-12-14')
(u'monday february 15 1993', '1993-02-15')
(u'9 jan 1997', '1997-01-09')
(u'15 apr 1997', '1997-04-15')
(u'thursday june 17 1976', '1976-06-17')
(u'3/16/71', '1971-03-16')
(u'monday march 7 1977', '1977-03-07')
(u'january 8 2014', '2014-01-08')
(u'friday september 3 1976', '1976-09-03')
(u'17 jun 2003', '2003-06-17')
(u'9 mar 1997', '1997-03-09')
(u'15 may 1999', '1999-05-15')
(u'november 8 2015', '2015-11-08')
(u'wednesday july 7 1982', '1982-07-07')
(u'20 may 2004', '2004-05-20')
(u'monday may 1 1995', '1995-05-01')
(u'thursday january 14 1988', '1988-01-14')
(u'friday august 18 1989', '1989-08-18')
(u'tuesday november 27 1979', '1979-11-27')
(u'december 8 1974', '1974-12-08')
(u'february 3 2015', '2015-02-03')
(u'04 may 2001', '2001-05-04')
(u'tuesday april 25 1978', '1978-04-25')
(u'22 04 09', '2009-04-22')
(u'tuesday january 16 1979', '1979-01-16')
(u'31 may 2002', '2002-05-31')
(u'17 september 1998', '1998-09-17')
(u'29 12 08', '2008-12-29')
(u'tuesday march 6 1990', '1990-03-06')
(u'september 30 2016', '2016-09-30')
(u'12 march 2005', '2005-03-12')
(u'thursday december 26 1991', '1991-12-26')
(u'december 5 1975', '1975-12-05')
(u'thursday august 19 1982', '1982-08-19')
(u'wednesday june 23 1976', '1976-06-23')
(u'wednesday july 5 1995', '1995-07-05')
(u'10 06 09', '2009-06-10')
(u'28 april 2006', '2006-04-28')
(u'07 mar 2001', '2001-03-07')
(u'thursday november 22 1990', '1990-11-22')
(u'thursday august 18 1983', '1983-08-18')
(u'5 05 09', '2009-05-05')
(u'7 nov 2002', '2002-11-07')
(u'24 jun 2002', '2002-06-24')
(u'27 apr 1997', '1997-04-27')
(u'11 sep 2008', '2008-09-11')
(u'27 october 1998', '1998-10-27')
(u'sunday november 21 1982', '1982-11-21')
(u'wednesday april 13 1988', '1988-04-13')
(u'wednesday february 27 1985', '1985-02-27')
(u'tuesday april 10 1984', '1984-04-10')
(u'december 20 2013', '2013-12-20')
(u'28 october 2004', '2004-10-28')
(u'12 january 2000', '2000-01-12')
(u'sunday january 26 1992', '1992-01-26')
(u'sunday october 3 1993', '1993-10-03')
(u'february 23 1975', '1975-02-23')
(u'tuesday march 23 1993', '1993-03-23')
(u'8 october 1998', '1998-10-08')
(u'sunday february 22 1987', '1987-02-22')
(u'saturday october 29 1994', '1994-10-29')
(u'27.11.18', '2018-11-27')
(u'september 7 2014', '2014-09-07')
(u'oct 8 1973', '1973-10-08')
(u'april 19 2016', '2016-04-19')
(u'18 11 08', '2008-11-18')
(u'3 10 09', '2009-10-03')
(u'18 05 09', '2009-05-18')
(u'tuesday march 18 1980', '1980-03-18')
(u'thursday june 17 1976', '1976-06-17')
(u'01 jun 2001', '2001-06-01')
(u'8 07 10', '2010-07-08')
(u'december 28 1974', '1974-12-28')
(u'9/15/70', '1970-09-15')
(u'may 6 2016', '2016-05-06')
(u'july 16 2014', '2014-07-16')
(u'monday october 18 1982', '1982-10-18')
(u'29 07 10', '2010-07-29')
(u'sunday august 12 1984', '1984-08-12')
(u'9 march 2011', '2011-03-09')
(u'8/20/70', '1970-08-20')
(u'11 october 1999', '1999-10-11')
(u'wednesday december 31 1980', '1980-12-31')
(u'13 feb 2001', '2001-02-13')
(u'3/25/71', '1971-03-25')
(u'04 sep 2001', '2001-09-04')
(u'november 19 1974', '1974-11-19')
(u'tuesday september 17 1991', '1991-09-17')
(u'jun 4 1973', '1973-06-04')
(u'monday october 10 1988', '1988-10-10')
(u'saturday august 20 1977', '1977-08-20')
(u'sunday january 19 1986', '1986-01-19')
(u'thursday december 24 1992', '1992-12-24')
(u'05 apr 2002', '2002-04-05')
(u'04 jan 2001', '2001-01-04')
(u'wednesday august 16 1995', '1995-08-16')
(u'26 september 2011', '2011-09-26')
(u'thursday february 8 1990', '1990-02-08')
(u'thursday january 20 1977', '1977-01-20')
(u'16 jul 2003', '2003-07-16')
(u'thursday june 25 1987', '1987-06-25')
(u'october 1 2015', '2015-10-01')
(u'saturday february 4 1989', '1989-02-04')
(u'9/5/70', '1970-09-05')
(u'thursday october 30 1986', '1986-10-30')
(u'19.12.16', '2016-12-19')
(u'monday may 24 1993', '1993-05-24')
(u'9 04 10', '2010-04-09')
(u'monday january 4 1988', '1988-01-04')
(u'11 october 1999', '1999-10-11')
(u'sep 19 1973', '1973-09-19')
(u'thursday november 29 1979', '1979-11-29')
(u'february 3 1975', '1975-02-03')
(u'wednesday september 13 1989', '1989-09-13')
(u'wednesday october 30 1985', '1985-10-30')
(u'20 apr 1997', '1997-04-20')
(u'02 oct 2001', '2001-10-02')
(u'monday september 28 1981', '1981-09-28')
(u'tuesday february 15 1983', '1983-02-15')
(u'3/16/71', '1971-03-16')
(u'december 15 1975', '1975-12-15')
(u'thursday september 1 1988', '1988-09-01')
(u'january 4 2014', '2014-01-04')
(u'tuesday march 20 1979', '1979-03-20')
(u'saturday december 16 1989', '1989-12-16')
(u'8/18/70', '1970-08-18')
(u'25 october 1998', '1998-10-25')
(u'monday august 6 1990', '1990-08-06')
(u'tuesday march 18 1986', '1986-03-18')
(u'sunday january 29 1989', '1989-01-29')
(u'sunday may 8 1983', '1983-05-08')
(u'thursday december 21 1989', '1989-12-21')
(u'tuesday january 16 1979', '1979-01-16')
(u'15 november 2004', '2004-11-15')
(u'september 2 2015', '2015-09-02')
(u'may 19 2014', '2014-05-19')
(u'tuesday december 8 1987', '1987-12-08')
(u'7/27/70', '1970-07-27')
(u'19 aug 2007', '2007-08-19')
(u'monday august 3 1992', '1992-08-03')
(u'7 sep 1996', '1996-09-07')
(u'04 feb 2002', '2002-02-04')
(u'20 09 09', '2009-09-20')
(u'monday may 8 1995', '1995-05-08')
(u'saturday april 6 1991', '1991-04-06')
(u'monday june 7 1976', '1976-06-07')
(u'jan 19 1972', '1972-01-19')
(u'saturday february 4 1978', '1978-02-04')
(u'wednesday july 27 1977', '1977-07-27')
(u'january 17 2016', '2016-01-17')
(u'28 sep 1997', '1997-09-28')
(u'5/6/71', '1971-05-06')
(u'monday july 29 1985', '1985-07-29')
(u'thursday march 1 1990', '1990-03-01')
(u'3 november 2010', '2010-11-03')
(u'saturday march 24 1990', '1990-03-24')
(u'5 oct 1996', '1996-10-05')
(u'saturday december 4 1982', '1982-12-04')
(u'friday october 25 1985', '1985-10-25')
(u'nov 26 1973', '1973-11-26')
(u'26 apr 2008', '2008-04-26')
(u'monday december 6 1993', '1993-12-06')
(u'18 october 2005', '2005-10-18')
(u'1 jan 1998', '1998-01-01')
(u'may 10 1974', '1974-05-10')
(u'sunday february 27 1983', '1983-02-27')
(u'monday september 2 1985', '1985-09-02')
(u'30 apr 2008', '2008-04-30')
(u'tuesday december 16 1986', '1986-12-16')
(u'05.04.17', '2017-04-05')
(u'28 12 08', '2008-12-28')
(u'22 oct 2003', '2003-10-22')
(u'sunday january 7 1996', '1996-01-07')
(u'20 nov 2003', '2003-11-20')
(u'wednesday july 30 1986', '1986-07-30')
(u'january 2 1975', '1975-01-02')
(u'2 january 2012', '2012-01-02')
(u'sunday june 28 1992', '1992-06-28')
(u'november 24 2016', '2016-11-24')
(u'28 october 2005', '2005-10-28')
(u'10 feb 1998', '1998-02-10')
(u'monday november 26 1990', '1990-11-26')
(u'31 jul 2003', '2003-07-31')
(u'wednesday november 11 1981', '1981-11-11')
(u'wednesday april 15 1987', '1987-04-15')
(u'friday august 23 1985', '1985-08-23')
(u'23 01 10', '2010-01-23')
(u'june 26 2016', '2016-06-26')
(u'october 4 1974', '1974-10-04')
(u'3/15/71', '1971-03-15')
(u'monday april 6 1987', '1987-04-06')
(u'30 may 2003', '2003-05-30')
(u'wednesday june 5 1991', '1991-06-05')
(u'14 mar 2007', '2007-03-14')
(u'20.05.17', '2017-05-20')
(u'11 aug 2002', '2002-08-11')
(u'07 aug 2002', '2002-08-07')
(u'monday january 3 1977', '1977-01-03')
(u'19 august 1998', '1998-08-19')
(u'18 sep 2000', '2000-09-18')
(u'sunday july 22 1979', '1979-07-22')
(u'4/8/71', '1971-04-08')
(u'12 mar 2003', '2003-03-12')
(u'12.08.18', '2018-08-12')
(u'25 aug 2001', '2001-08-25')
(u'tuesday october 30 1979', '1979-10-30')
(u'7 august 2012', '2012-08-07')
(u'thursday july 18 1985', '1985-07-18')
(u'monday september 15 1986', '1986-09-15')
(u'23 10 09', '2009-10-23')
(u'12 11 08', '2008-11-12')
(u'july 28 2015', '2015-07-28')
(u'april 20 2013', '2013-04-20')
(u'2/12/70', '1970-02-12')
(u'thursday march 12 1981', '1981-03-12')
(u'11 jul 1998', '1998-07-11')
(u'wednesday may 6 1981', '1981-05-06')
(u'27 august 2011', '2011-08-27')
(u'14 january 2006', '2006-01-14')
(u'01 jan 2007', '2007-01-01')
(u'march 13 2016', '2016-03-13')
(u'20 aug 2004', '2004-08-20')
(u'24.02.17', '2017-02-24')
(u'friday october 30 1992', '1992-10-30')
(u'wednesday august 25 1976', '1976-08-25')
(u'friday april 14 1995', '1995-04-14')
(u'june 7 2016', '2016-06-07')
(u'23 january 2000', '2000-01-23')
(u'monday october 7 1985', '1985-10-07')
(u'october 27 1974', '1974-10-27')
(u'monday july 26 1976', '1976-07-26')
(u'january 1 1976', '1976-01-01')
(u'12 october 2004', '2004-10-12')
(u'monday january 27 1986', '1986-01-27')
(u'tuesday april 9 1991', '1991-04-09')
(u'28.09.17', '2017-09-28')
(u'friday april 4 1986', '1986-04-04')
(u'25 dec 2001', '2001-12-25')
(u'saturday january 31 1987', '1987-01-31')
(u'tuesday november 15 1988', '1988-11-15')
(u'thursday november 15 1990', '1990-11-15')
(u'friday october 4 1991', '1991-10-04')
(u'september 21 1975', '1975-09-21')
(u'30 may 2001', '2001-05-30')
(u'23 mar 1997', '1997-03-23')
(u'june 19 1975', '1975-06-19')
(u'09.09.17', '2017-09-09')
(u'22.04.18', '2018-04-22')
(u'thursday june 16 1983', '1983-06-16')
(u'wednesday september 3 1986', '1986-09-03')
(u'16 mar 2008', '2008-03-16')
(u'monday october 10 1994', '1994-10-10')
(u'23 sep 1997', '1997-09-23')
(u'31 may 2007', '2007-05-31')
(u'15 oct 2006', '2006-10-15')
(u'monday december 27 1982', '1982-12-27')
(u'wednesday november 3 1993', '1993-11-03')
(u'31 08 09', '2009-08-31')
(u'march 17 2013', '2013-03-17')
(u'22 may 2012', '2012-05-22')
(u'19 02 09', '2009-02-19')
